,Context before,token,Context after,Sense
178,contrary to the just principles of the equilibrium of a fluid mass . The level surfaces of a homogeneous fluid,mass,"in equilibrio , are determined without ambiguity by varying the arbitrary constant of the general equation . And as there",N
179,that magnetic force will give a more important indication in relation to the essential and real crystalline structure of the,mass,than its form can do . 2479 . I have already stated that the magnecrystallic force does not manifest itself,N
180,vol. I the of the third of titics ition oumbers giveIl origiunlly for the FIGURE OF EQUILIBRIUM OF A ROTATING,mass,"OF LIQUID . The moment of inertia of the pear-shaped out the axis of rotation , say , will be",N
181,"39 ) and when , the value of ( cf. S4 ) . Thus our equations would make the spheroidal",mass,"of incompressible fluid first become unstable when , but these equations have only been obtained on the supposition that is",N
182,"equatorial , and , consequently , the fibre axial . For some time I referred the axial setting of the",mass,", in the centre of the field , to the directive action of the fibre , though , knowing the",N
183,"and sal-ammoniac were removed , and dried . It had then the appearance of a dull , black , amorphous",mass,", which yielded a brownish-black powder , strongly resembling some of the products of decomposition of indican . When heated",N
184,are merely remnants of the cells of the perisperm . At one point near the centre of the seed a,mass,of these cells is aggregated into a dark-coloured mass . Towards the lower part of the seed we only see,N
185,"vinyl is formed in this operation , only traces of gas being evolved on opening the digestion-tubes . The crystalline",mass,"which remains on evaporating the product of the reaction to dryness , is a mixture of six , and occasionally",N
186,"be detected by starch-paste , the solution filtered from the sulphur , and poured into water , solidifies to a",mass,"of white interlaced needles , which can readily be freed from adhering hydriodic acid by washing with cold water .",N
187,gentler play of forces . The following facts appear to me quite conclusive as to the manner in which a,mass,"partially solidified , yet moving as a fluid , is torn up by the interior forces which act upon it",N
188,"equal to their mean . Hence , the previous numerical results for uniform size applicable to non-uniform meteorites of mean",mass,"about a third greater than the uniform mass ; for example , the results for uniform meteorites of tonnes apply",M
189,X 40 . Fig. 7 . The ganglion cell marked a in Fig. 6 . X 700 diameters . The,mass,"is undergoing division , and from it a number of separate cells like the groups in Fig. 6 would result",N
190,"thick : this thickness is due to the appearance of a large .double vascular bundle , surrounded by a considerable",mass,"of parenchyma , which is lodged in the substance of the prosenchymatous layer . Two of the vertical prosenchymatous laminae",N
191,between these kinds of matter is that subsisting between the material of a mineral and the material of an organized,mass,". The colloidal character is not obliterated by liquefaction , and is therefore more than a modification of the physical",N
192,to bear this stress . We are thus led to inquire how the stresses are distributed m the earth 's,mass,", and what are magnitudes of the stresses . In this paper I have solved a problem of the kind",M
193,"stout case , did not explode gun-cotton with which it was closely surrounded , but merely shattered and dispersed the",mass,". But when enclosed in the stout sheet-metal cap , the 0*3 grm. of silver-fulminate accomplished the detonation of gun-cotton",N
194,"and 5*3 feet . The moment of inertia of the deflecting magnet was computed from the length , breadth and",mass,of the bar . June 23 . 4'509 June 27 . 4*557 24 . 4*515 28 . 4*505 24 .,M
195,of which are urged by accelerating forces ; let A all the forces which act upon any element of the,mass,", as dm , be reduced to the directions of three rectangular coordinates x , y , z ; and",M
196,"not cohere , whereas when it is in a thawing condition , it can be squeezed into a hard compact",mass,". During one of the hottest days of last July , when the temperature was upwards of 100 ? Fahr.",N
197,". Of the 15 chemical reactions chosen by the original investigator , a well defined apparent decrease in the total",mass,of the reacting substances was usually obtained by means of ferrous sulphate and silver sulphate ; and this was particularly,M
198,"often the case ) with an increased slope , will oppose so great a resistance to the efflux of the",mass,", that tunder intense longitudinal compression its forward motion is retarded , and the condition of uniform discharge is satisfied",N
199,T'i ' . Now the analogy between such a substance and ice fails in this respect ; in the viscous,mass,"the short diagonal of the square stretches to the long one of the lozenge , but , in the glacier",N
200,"caput cornu posterioris , consisting of a dark mass of closely aggregated nuclei . From the outer edge of this",mass,", as well as from that of the rest of the grey substance , nuclei are scattered in smaller numbers",N
201,"not solve the difficulty . 45 . The next thought is , that I may have assigned too great a",mass,to the Doubt* Some idea may be formed of the amount of these deflections from the following representation . Conceive,MET
